title,price,stock,rating,url
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,In stock,4,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,3,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Elephant Tree,23.82,In stock,1,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
Sophie&#39;s World,15.94,In stock,3,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Maude (1883-1993):She Grew Up with the country,18.02,In stock,1,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
Behind Closed Doors,52.22,In stock,2,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
Slow States of Collapse: Poems,57.31,In stock,2,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Private Paris (Private #10),47.61,In stock,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
Without Borders (Wanderlove #1),45.07,In stock,1,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
"We Love You, Charlie Freeman",50.27,In stock,4,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails &amp; Other Wonders of the Urban Wilderness",44.18,In stock,3,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,1,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,4,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
Thirst,17.27,In stock,1,https://books.toscrape.com/catalogue/thirst_946/index.html
The Secret of Dreadwillow Carse,56.13,In stock,1,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The Past Never Ends,56.50,In stock,3,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Nameless City (The Nameless City #1),38.16,In stock,3,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Most Perfect Thing: Inside (and Outside) a Bird&#39;s Egg,42.96,In stock,4,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock,5,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,In stock,1,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Death of Humanity: and the Case for Life,58.11,In stock,3,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Art Forger,40.76,In stock,1,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Activist&#39;s Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,4,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Soul Reader,39.58,In stock,2,https://books.toscrape.com/catalogue/soul-reader_926/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,2,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,3,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,5,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",18.97,In stock,2,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Patience,10.16,In stock,4,https://books.toscrape.com/catalogue/patience_916/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,1,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
On a Midnight Clear,14.07,In stock,2,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
My Paris Kitchen: Recipes and Stories,33.37,In stock,2,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,2,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,2,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,2,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Join,35.67,In stock,4,https://books.toscrape.com/catalogue/join_902/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,2,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
I am a Hero Omnibus Volume 1,54.63,In stock,1,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,2,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,4,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,2,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
"Don&#39;t Be a Jerk: And Other Practical Advice from Dogen, Japan&#39;s Greatest Zen Master",37.97,In stock,4,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
Crown of Midnight (Throne of Glass #2),43.29,In stock,4,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
Camp Midnight,17.08,In stock,5,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
Burning,28.81,In stock,2,https://books.toscrape.com/catalogue/burning_884/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,2,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,1,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,1,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
A Flight of Arrows (The Pathfinders #2),55.53,In stock,4,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,5,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,In stock,4,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
Tuesday Nights in 1980,21.04,In stock,3,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
Throne of Glass (Throne of Glass #1),35.07,In stock,1,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
Thirteen Reasons Why,52.72,In stock,4,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
The Wedding Dress,24.12,In stock,4,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,In stock,4,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Shadow Hero (The Shadow Hero),33.14,In stock,4,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
The Regional Office Is Under Attack!,51.36,In stock,2,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
The Project,10.65,In stock,2,https://books.toscrape.com/catalogue/the-project_856/index.html
The Omnivore&#39;s Dilemma: A Natural History of Four Meals,38.21,In stock,5,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,In stock,3,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Matchmaker&#39;s Playbook (Wingmen Inc. #1),55.85,In stock,2,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock,4,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
The House by the Lake,36.95,In stock,1,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
The Girl on the Train,55.02,In stock,1,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html
The Emerald Mystery,23.15,In stock,1,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html
The Bridge to Consciousness: I&#39;m Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,In stock,5,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html
The Art of War,33.34,In stock,2,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,In stock,2,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html
Something More Than This,16.24,In stock,2,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
So You&#39;ve Been Publicly Shamed,12.23,In stock,2,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
"Shobu Samurai, Project Aryoku (#3)",29.06,In stock,1,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html
Scarlett Epstein Hates It Here,43.55,In stock,1,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html
Redeeming Love,20.47,In stock,1,https://books.toscrape.com/catalogue/redeeming-love_826/index.html
Poems That Make Grown Women Cry,14.19,In stock,1,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html
Night Sky with Exit Wounds,41.05,In stock,5,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html
Modern Romance,28.26,In stock,1,https://books.toscrape.com/catalogue/modern-romance_820/index.html
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,3,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,In stock,2,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
I Had a Nice Time And Other Lies...: How to find love &amp; sh*t like that,57.36,In stock,1,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Grumbles,22.16,In stock,4,https://books.toscrape.com/catalogue/grumbles_812/index.html
Frostbite (Vampire Academy #2),29.99,In stock,1,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
First Steps for New Christians (Print Edition),29.00,In stock,5,https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,4,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,5,https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html
Doing It Over (Most Likely To #1),35.61,In stock,3,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
